fusion_type,dataset,model,parameters,Pascal mAP@0.5IOU,Pascal AP@0.5IOU/people,Pascal AP@0.5IOU/car,Pascal AP@0.5IOU/motorcycle,Pascal AP@0.5IOU/bus,Pascal AP@0.5IOU/truck,Pascal AP@0.5IOU/lamp,COCO AP@[0.50:0.95],COCO AP@0.50,COCO AP@0.75,COCO AP_small,COCO AP_medium,COCO AP_large,COCO AR@1,COCO AR@10,COCO AR@100,COCO AR_small,COCO AR_medium,COCO AR_large,COCO mAP
agnostic,m3fd_challenge,EfficientKAN_dual_64_2,7168,0.8123173611296531,0.7143271175285477,0.8945434408241046,0.9408478145260244,0.8700145354564195,0.870087611369329,0.5840836470734938,0.516,0.811,0.538,0.224,0.642,0.842,0.277,0.549,0.601,0.379,0.691,0.865,0.5161436086996168
agnostic,m3fd_challenge,WavKAN_32,16912,0.8145337959641611,0.7246888362491931,0.8975008811495098,0.9384415584415584,0.8696213991913048,0.8622869926146859,0.5946631081387143,0.515,0.815,0.546,0.243,0.639,0.842,0.277,0.544,0.597,0.381,0.694,0.866,0.5152622747460609
agnostic,m3fd_challenge,WavKAN_64,8712,0.8192222284707279,0.744510002596682,0.8906173217146793,0.9437615503404978,0.8696249615249437,0.8609002906575073,0.605919243990058,0.517,0.817,0.543,0.252,0.651,0.840,0.279,0.548,0.600,0.389,0.698,0.867,0.5170066893045443
adaptive,m3fd_challenge,mlp,8464,0.8266951892526219,0.746523329536212,0.8977107837018796,0.9353607503607504,0.8728333854505621,0.8805268493311105,0.627216037135216,0.514,0.825,0.533,0.236,0.637,0.844,0.274,0.541,0.592,0.360,0.692,0.865,0.5143736871842234
adaptive,m3fd_challenge,FastKAN_32_3,17182,0.8118896099722769,0.7187007396123365,0.8748148535303506,0.9443385340087941,0.876814327553144,0.8680075343936846,0.5886616707353509,0.507,0.811,0.537,0.231,0.635,0.831,0.272,0.538,0.590,0.388,0.687,0.857,0.50735085298774
adaptive,m3fd_challenge,FastKAN_32_2,13084,0.8211245313644381,0.7254800496459803,0.8961356856611098,0.9438343253968254,0.9003338806136948,0.8481381183224227,0.6128251285465959,0.511,0.818,0.535,0.225,0.631,0.839,0.275,0.543,0.593,0.373,0.692,0.864,0.5105336115043053
adaptive,m3fd_challenge,FastKAN_64_3,8978,0.8211243696448354,0.7246350165913245,0.8943041607734532,0.9483812349345335,0.8694237093655698,0.8641261068030577,0.6258759894010737,0.514,0.819,0.526,0.254,0.626,0.843,0.275,0.541,0.595,0.391,0.683,0.866,0.513610615825244
adaptive,m3fd_challenge,FastKAN_64_2,6928,0.8047995030642414,0.7195629619804894,0.8933608621013459,0.9352001194743131,0.8722183588541123,0.8459675874605757,0.5624871285146121,0.507,0.802,0.530,0.244,0.637,0.841,0.276,0.540,0.593,0.377,0.691,0.872,0.5067013748164522
adaptive,m3fd_challenge,EfficientKAN_32_3,32768,0.8193604166266472,0.7445789695352069,0.8881549055166809,0.9428069626850115,0.875234878116234,0.8543039515266455,0.6110828323801045,0.512,0.817,0.540,0.242,0.631,0.844,0.274,0.543,0.598,0.382,0.699,0.869,0.5120196180591631
adaptive,m3fd_challenge,EfficientKAN_32_2,28672,0.8127082756072349,0.7119957405204906,0.8947155889903151,0.9326588412254145,0.8707964490953307,0.870846316868887,0.5952367169429715,0.514,0.810,0.548,0.238,0.641,0.838,0.277,0.542,0.593,0.371,0.697,0.863,0.5137315163388294
adaptive,m3fd_challenge,EfficientKAN_64_3,16384,0.8154225887511782,0.7179651953068107,0.8920622927504696,0.9543817293817294,0.869308454121887,0.8543636083608432,0.6044542525853303,0.514,0.814,0.543,0.246,0.639,0.837,0.273,0.544,0.596,0.391,0.699,0.862,0.5139526008673747
adaptive,m3fd_challenge,EfficientKAN_64_2,14336,0.820994590132055,0.7482868826958538,0.8916721542683976,0.958034188034188,0.8791829861676029,0.8391379836528974,0.6096533459733905,0.518,0.819,0.553,0.259,0.646,0.851,0.276,0.547,0.597,0.392,0.703,0.874,0.5181527049678772
adaptive,m3fd_challenge,EfficientKAN_dual_32_3,16384,0.8219890055135327,0.7353827891729765,0.8942132310396713,0.9529880284597265,0.8669883765817126,0.8621413630989803,0.6202202447281292,0.520,0.820,0.552,0.248,0.642,0.847,0.279,0.548,0.600,0.397,0.701,0.870,0.5198751617930163
adaptive,m3fd_challenge,EfficientKAN_dual_32_2,14336,0.8255883771650906,0.7144357870287146,0.8981564871515664,0.9593211451247166,0.8711728304375362,0.8637719533090598,0.6466720599389506,0.517,0.824,0.531,0.249,0.646,0.841,0.279,0.543,0.593,0.380,0.703,0.866,0.5165920638612348
adaptive,m3fd_challenge,EfficientKAN_dual_64_3,8192,0.8162346248705483,0.7186525827378859,0.8956099259284118,0.9481662796046357,0.865468799981663,0.8707984949180769,0.5987116660526167,0.511,0.815,0.517,0.230,0.639,0.837,0.276,0.540,0.594,0.387,0.699,0.867,0.5113403635216729
adaptive,m3fd_challenge,EfficientKAN_dual_64_2,7168,0.8103625755208513,0.7142754294059629,0.8873918142112156,0.9369284892818763,0.8696415992740189,0.8705721466192684,0.5833659743327663,0.514,0.808,0.540,0.212,0.634,0.835,0.275,0.545,0.595,0.349,0.692,0.860,0.5139130796357892
adaptive,m3fd_challenge,WavKAN_32,16912,0.8124404418867597,0.7248334928064816,0.8938877313777434,0.9393488505298239,0.8692160730691019,0.8660797522716501,0.5812767512657568,0.517,0.810,0.559,0.245,0.654,0.845,0.278,0.547,0.599,0.385,0.704,0.870,0.517464011219227
adaptive,m3fd_challenge,WavKAN_64,8712,0.8243688477888852,0.7453623466514807,0.8905156972790429,0.9591134792626729,0.8695478665880357,0.8600333372734861,0.6216403596785931,0.517,0.823,0.543,0.251,0.642,0.838,0.277,0.548,0.599,0.384,0.698,0.869,0.5169981698363274
agnostic,m3fd_overcast,mlp,8464,0.8515256437419375,0.864749542320555,0.9189784874104072,0.6717751479289942,0.939484126984127,0.8888888888888888,0.825277668918653,0.559,0.849,0.582,0.210,0.691,0.869,0.400,0.602,0.623,0.313,0.748,0.882,0.5591777979828775
agnostic,m3fd_overcast,FastKAN_32_3,17182,0.8445720240962657,0.8740617254245735,0.9189925161448529,0.6071714174335657,0.939484126984127,0.9022222222222221,0.8255001363682531,0.557,0.841,0.579,0.211,0.684,0.885,0.396,0.610,0.621,0.324,0.746,0.899,0.557117352917235
