fusion_type,dataset,model,parameters,Pascal mAP@0.5IOU,Pascal AP@0.5IOU/person,Pascal AP@0.5IOU/bike,Pascal AP@0.5IOU/car,COCO AP@[0.50:0.95],COCO AP@0.50,COCO AP@0.75,COCO AP_small,COCO AP_medium,COCO AP_large,COCO AR@1,COCO AR@10,COCO AR@100,COCO AR_small,COCO AR_medium,COCO AR_large,COCO mAP
adaptive,flir_aligned_day,EfficientKAN_64_2,14336,0.8574584986287497,0.8840026056090453,0.7856703211711444,0.9027025691060593,0.479,0.854,0.449,0.320,0.539,0.638,0.224,0.556,0.584,0.480,0.625,0.728,0.47867559140733656
adaptive,flir_aligned_day,EfficientKAN_dual_32_3,16384,0.8624836752614929,0.883072163335513,0.8019446536609911,0.9024342087879746,0.483,0.859,0.451,0.333,0.539,0.636,0.227,0.561,0.589,0.485,0.633,0.736,0.48270224768613107
adaptive,flir_aligned_day,EfficientKAN_dual_32_2,14336,0.8572179165506482,0.8810763885995514,0.7865828997566247,0.9039944612957683,0.482,0.854,0.459,0.324,0.542,0.634,0.225,0.555,0.584,0.476,0.631,0.720,0.4819382280743156
adaptive,flir_aligned_day,EfficientKAN_dual_64_3,8192,0.8531648475799033,0.8800091147220606,0.7756325497068957,0.9038528783107539,0.479,0.850,0.454,0.329,0.537,0.631,0.220,0.559,0.588,0.481,0.635,0.712,0.47867027128820655
adaptive,flir_aligned_day,EfficientKAN_dual_64_2,7168,0.8585628953259204,0.8807228163903467,0.791558105841677,0.9034077637457377,0.478,0.855,0.457,0.332,0.535,0.635,0.222,0.559,0.588,0.482,0.634,0.727,0.47782823177920125
adaptive,flir_aligned_day,WavKAN_32,16912,0.8510733094226747,0.8842147115238977,0.7638882621970888,0.9051169545470374,0.476,0.848,0.448,0.320,0.534,0.617,0.220,0.556,0.586,0.490,0.625,0.715,0.4756618946777653
adaptive,flir_aligned_day,WavKAN_64,8712,0.852820357233414,0.8809981432167031,0.774368648586096,0.9030942798974428,0.475,0.850,0.447,0.328,0.533,0.621,0.220,0.553,0.580,0.477,0.623,0.720,0.4753892307805353
agnostic,flir_aligned_night,mlp,8464,0.8374447002004833,0.9155019109554445,0.6724262193498509,0.9244059702961547,0.460,0.834,0.447,0.356,0.548,0.559,0.230,0.559,0.576,0.472,0.667,0.678,0.4603967722495325
agnostic,flir_aligned_night,FastKAN_32_3,17182,0.8433805193402474,0.9139841988992081,0.6914437968448858,0.924713562276648,0.475,0.840,0.493,0.382,0.551,0.615,0.234,0.578,0.596,0.515,0.654,0.732,0.4745204089358915
agnostic,flir_aligned_night,FastKAN_32_2,13084,0.8384303603479245,0.9135900855761457,0.6754337963920088,0.9262671990756188,0.465,0.835,0.461,0.373,0.545,0.557,0.228,0.566,0.586,0.507,0.647,0.691,0.4650234456905707
agnostic,flir_aligned_night,FastKAN_64_3,8978,0.8387237823161137,0.9141257755069973,0.6765275015371977,0.9255180699041465,0.461,0.836,0.461,0.357,0.550,0.567,0.234,0.559,0.576,0.479,0.656,0.686,0.46074821457180587
agnostic,flir_aligned_night,FastKAN_64_2,6928,0.8470134086148645,0.9160580791424888,0.700094002498953,0.9248881442031514,0.469,0.844,0.459,0.374,0.547,0.583,0.229,0.567,0.586,0.495,0.658,0.702,0.4690759869109516
agnostic,flir_aligned_night,EfficientKAN_32_3,32768,0.8287814466464548,0.9141740303828916,0.6539249458095208,0.9182453637469521,0.472,0.826,0.474,0.373,0.563,0.552,0.231,0.573,0.592,0.501,0.676,0.653,0.47235236086939497
agnostic,flir_aligned_night,EfficientKAN_32_2,28672,0.8402267935749368,0.9104923302217838,0.6843234191601995,0.9258646313428273,0.466,0.837,0.457,0.367,0.552,0.564,0.235,0.569,0.588,0.492,0.671,0.675,0.46636245519086933
agnostic,flir_aligned_night,EfficientKAN_64_3,16384,0.8169701514308216,0.9140932277404329,0.6128097572651543,0.9240074692868778,0.465,0.814,0.475,0.387,0.532,0.562,0.236,0.573,0.591,0.502,0.658,0.730,0.4649969148036716
agnostic,flir_aligned_night,EfficientKAN_64_2,14336,0.8419798190747899,0.914701885278866,0.6855835244080738,0.9256540475374299,0.470,0.839,0.472,0.375,0.549,0.570,0.225,0.569,0.587,0.501,0.657,0.687,0.4696460131702425
agnostic,flir_aligned_night,EfficientKAN_dual_32_3,16384,0.8517492392661592,0.9100267015661198,0.7163146522446031,0.9289063639877546,0.468,0.848,0.461,0.367,0.549,0.567,0.232,0.562,0.579,0.491,0.648,0.703,0.46831452424562914
agnostic,flir_aligned_night,EfficientKAN_dual_32_2,14336,0.829149625755511,0.918574057996675,0.6472841709138718,0.921590648355986,0.463,0.826,0.458,0.376,0.548,0.572,0.231,0.568,0.587,0.492,0.661,0.722,0.46317003581458244
agnostic,flir_aligned_night,EfficientKAN_dual_64_3,8192,0.8329162972802825,0.9167446028253303,0.6617104667276122,0.9202938222879051,0.455,0.830,0.450,0.364,0.534,0.567,0.234,0.563,0.580,0.485,0.648,0.745,0.45532171242082636
agnostic,flir_aligned_night,EfficientKAN_dual_64_2,7168,0.8289008399042842,0.9133096810555816,0.6491349475598127,0.9242578910974583,0.460,0.826,0.466,0.368,0.545,0.539,0.232,0.561,0.577,0.483,0.657,0.669,0.4604927525222488
agnostic,flir_aligned_night,WavKAN_32,16912,0.8244184723425442,0.9180988854536807,0.6276435003340414,0.9275130312399106,0.466,0.822,0.466,0.379,0.543,0.570,0.232,0.575,0.595,0.508,0.662,0.727,0.4656772497831242
agnostic,flir_aligned_night,WavKAN_64,8712,0.8392553122670002,0.9134460061444862,0.6770625623142732,0.927257368342241,0.466,0.836,0.455,0.373,0.547,0.548,0.231,0.570,0.587,0.497,0.660,0.703,0.46624326604212724
adaptive,flir_aligned_night,mlp,8464,0.879085743560205,0.9140463852005186,0.7948691243997639,0.9283417210803322,0.474,0.875,0.449,0.357,0.558,0.645,0.234,0.558,0.576,0.483,0.645,0.735,0.47425127647531384
adaptive,flir_aligned_night,FastKAN_32_3,17182,0.8774481763214542,0.9136883777147498,0.7936808334841973,0.9249753177654156,0.482,0.874,0.453,0.363,0.574,0.634,0.233,0.568,0.583,0.486,0.663,0.697,0.48199002793637796
adaptive,flir_aligned_night,FastKAN_32_2,13084,0.8778867942206147,0.9189078223117343,0.7863437071163072,0.9284088532338024,0.483,0.874,0.463,0.362,0.566,0.643,0.238,0.566,0.582,0.482,0.657,0.733,0.48317241112405224
adaptive,flir_aligned_night,FastKAN_64_3,8978,0.8871461125387793,0.9133857258606812,0.8199711898106046,0.9280814219450519,0.488,0.883,0.460,0.371,0.576,0.626,0.235,0.575,0.591,0.496,0.666,0.723,0.48841342995163467
adaptive,flir_aligned_night,FastKAN_64_2,6928,0.8825561780319552,0.9180487183501598,0.7998079056700597,0.9298119100756461,0.486,0.879,0.467,0.368,0.575,0.641,0.240,0.575,0.592,0.488,0.677,0.713,0.4864341114082988
adaptive,flir_aligned_night,EfficientKAN_32_3,32768,0.8724082202668919,0.9161164566746804,0.7694438913188568,0.9316643128071387,0.481,0.869,0.453,0.368,0.567,0.643,0.233,0.563,0.580,0.494,0.646,0.706,0.48123898370111484
adaptive,flir_aligned_night,EfficientKAN_32_2,28672,0.8754226409061648,0.9173802653554088,0.7780576213982107,0.9308300359648748,0.489,0.871,0.468,0.372,0.572,0.636,0.242,0.579,0.596,0.506,0.664,0.734,0.48900375504161714
adaptive,flir_aligned_night,EfficientKAN_64_3,16384,0.8892534548195726,0.9153821378146645,0.8196328459721804,0.932745380671873,0.487,0.886,0.464,0.365,0.575,0.629,0.239,0.573,0.590,0.495,0.662,0.732,0.48696386769052075
adaptive,flir_aligned_night,EfficientKAN_64_2,14336,0.8747226224999016,0.9174387350572359,0.780687590350953,0.9260415420915158,0.479,0.872,0.449,0.368,0.572,0.614,0.236,0.573,0.591,0.492,0.669,0.726,0.4788263637407101
adaptive,flir_aligned_night,EfficientKAN_dual_32_3,16384,0.8770723551984174,0.9130124252373961,0.790492783735978,0.9277118566218784,0.480,0.873,0.461,0.356,0.573,0.652,0.240,0.568,0.587,0.482,0.664,0.763,0.47999632158440353
adaptive,flir_aligned_night,EfficientKAN_dual_32_2,14336,0.8745296215404235,0.9156091838932012,0.7815642015566122,0.9264154791714572,0.478,0.871,0.450,0.353,0.569,0.619,0.234,0.563,0.579,0.473,0.658,0.752,0.4781615198326389
adaptive,flir_aligned_night,EfficientKAN_dual_64_3,8192,0.8648735127090325,0.9132951901180872,0.7519609091995042,0.9293644388095064,0.478,0.861,0.453,0.364,0.563,0.652,0.239,0.566,0.584,0.486,0.662,0.715,0.47829705218202956
adaptive,flir_aligned_night,EfficientKAN_dual_64_2,7168,0.873521211415908,0.9190152069393154,0.7680267040148469,0.9335217232935618,0.476,0.871,0.455,0.362,0.573,0.621,0.234,0.572,0.590,0.491,0.665,0.741,0.476114422190362
adaptive,flir_aligned_night,WavKAN_32,16912,0.8593241410510938,0.9143043883442945,0.7314273301323543,0.9322407046766321,0.467,0.856,0.436,0.364,0.554,0.614,0.232,0.568,0.586,0.491,0.654,0.746,0.466824481150374
adaptive,flir_aligned_night,WavKAN_64,8712,0.8681792004706094,0.9142888362589794,0.7659778312820144,0.9242709338708344,0.465,0.865,0.431,0.348,0.550,0.628,0.226,0.557,0.577,0.475,0.653,0.741,0.46463792209756427
